Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	14:25 2/3/2020	109
Jim	14:25 2/3/2020	131
Mike	16:48 3/3/2020	146
Jim	0:8 3/4/2020	260
Jim	0:10 3/4/2020	195
Jim	0:16 3/4/2020	191
Jim	0:28 3/4/2020	263
Tom	0:40 3/4/2020	132
Lana	1:23 3/4/2020	461
Mike	2:5 3/4/2020	221
Tom	2:38 3/4/2020	289
Jim	2:38 3/4/2020	222
Tom	3:14 3/4/2020	125
Jim	3:34 3/4/2020	123
Lana	3:49 3/4/2020	214
Tom	10:37 3/4/2020	127
Tom	10:40 3/4/2020	112
Tom	13:55 3/4/2020	107
AI	13:55 3/4/2020	133
Jim	13:55 3/4/2020	116
Jim	13:55 3/4/2020	115
Kalp	13:55 3/4/2020	113
AI	13:55 3/4/2020	168
Jim	13:55 3/4/2020	106
TomH	13:55 3/4/2020	155
Kalp	13:55 3/4/2020	134
AI	13:55 3/4/2020	102
Jim	13:57 3/4/2020	99
Tom	13:57 3/4/2020	131
Mike	13:58 3/4/2020	99
Tom	15:56 3/4/2020	121
Lana	15:56 3/4/2020	87
Jim	15:56 3/4/2020	214
Kalp	15:56 3/4/2020	182
Tom	15:57 3/4/2020	210
Mike	15:57 3/4/2020	156
Kalp	15:57 3/4/2020	179
Foo	15:57 3/4/2020	115
Jim	16:13 3/4/2020	105
Lana	16:13 3/4/2020	130
Tom	16:32 3/4/2020	148
Jim	16:32 3/4/2020	102
TomH	16:32 3/4/2020	156
Mike	16:32 3/4/2020	94
Kalp	16:32 3/4/2020	111
AI	16:32 3/4/2020	132
Tom	16:50 3/4/2020	115
Mike	16:50 3/4/2020	157
Lana	16:50 3/4/2020	192
Kalp	16:50 3/4/2020	191
Al-Sahim	16:50 3/4/2020	132
AI	16:50 3/4/2020	182
Mike	16:56 3/4/2020	113
Jim	16:56 3/4/2020	129
Lana	16:56 3/4/2020	118
Kalp	16:56 3/4/2020	171
Tom	17:11 3/4/2020	128
Lana	17:11 3/4/2020	128
Al-Sahim	17:11 3/4/2020	129
Kalp	17:11 3/4/2020	131
Jim	17:38 3/4/2020	172
Lana	17:38 3/4/2020	108
Kalp	17:39 3/4/2020	114
Mike	19:46 3/4/2020	137
Lana	19:46 3/4/2020	137
TomH	19:46 3/4/2020	104
Tom	19:46 3/4/2020	153
Al-Sahim	19:46 3/4/2020	148
Linux	19:46 3/4/2020	129
Jim	19:52 3/4/2020	114
Kalp	19:52 3/4/2020	140
Lana	19:53 3/4/2020	146
Al-Sahim	19:53 3/4/2020	141
Tom	19:57 3/4/2020	91
Kalp	19:57 3/4/2020	140
TomH	19:57 3/4/2020	96
TomH	19:57 3/4/2020	94
Tom	19:57 3/4/2020	108
Lana	19:57 3/4/2020	119
Tom	20:1 3/4/2020	153
Kalp	20:1 3/4/2020	128
Tom	20:2 3/4/2020	123
Kalp	20:2 3/4/2020	119
Jim	20:7 3/4/2020	117
TomH	20:7 3/4/2020	120
Tom	20:11 3/4/2020	194
AI	20:11 3/4/2020	144
Mike	20:11 3/4/2020	76
Mike	20:15 3/4/2020	93
Tom	20:15 3/4/2020	146
AI	20:15 3/4/2020	111
Tom	20:19 3/4/2020	155
AI	20:19 3/4/2020	130
Mike	20:19 3/4/2020	116
Tom	20:19 3/4/2020	147
Lana	20:19 3/4/2020	127
TomH	20:24 3/4/2020	181
Jim	20:24 3/4/2020	165
Kalp	20:24 3/4/2020	164
Tom	20:25 3/4/2020	116
Kalp	20:25 3/4/2020	144
Jim	20:25 3/4/2020	134
AI	20:25 3/4/2020	98
Lana	20:25 3/4/2020	95
Jim	20:29 3/4/2020	115
Mike	21:17 3/4/2020	112
Lana	21:17 3/4/2020	126
AI	21:17 3/4/2020	118
Mike	21:18 3/4/2020	172
Jim	21:18 3/4/2020	153
Lana	21:26 3/4/2020	129
Mike	21:26 3/4/2020	180
Kalp	21:26 3/4/2020	180
AI	21:26 3/4/2020	141
Lana	21:29 3/4/2020	136
Jim	21:29 3/4/2020	149
TomH	21:30 3/4/2020	137
AI	21:30 3/4/2020	115
Lana	21:34 3/4/2020	146
Jim	21:34 3/4/2020	103
Al-Sahim	21:34 3/4/2020	167
AI	21:34 3/4/2020	197
Tom	21:39 3/4/2020	102
Lana	21:39 3/4/2020	113
Al-Sahim	21:39 3/4/2020	121
Mike	21:41 3/4/2020	94
TomH	21:41 3/4/2020	96
Tom	21:41 3/4/2020	145
TomH	21:41 3/4/2020	115
Al-Sahim	21:41 3/4/2020	112
Jim	21:46 3/4/2020	141
Lana	21:46 3/4/2020	127
Al-Sahim	21:46 3/4/2020	152
Mike	21:46 3/4/2020	139
